state,cases,deaths,Population,Mask Use,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,Wholesale Trade,Retail Trade,Transportation and Warehousing,Information,Finance and Insurance,Real Estate and Rental and Leasing,"Professional, Scientific, and Technical Services",Management of Companies and Enterprises,Administrative and Support and Waste Management and Remediation Services,Educational Services,Health Care and Social Assistance,"Arts, Entertainment, and Recreation",Accomodation and Food Services,Other Services,Public Administration,total_li_workers_employed,low_income_worker_job_loss_rate,State Code,Region,Division
North Dakota,92502,1299.0,779518,18129,0.1809811320754720,0.1640188679245280,0.1459245283018870,0.25181132075471700,0.25724528301886800,243.3,166.6,261.5,74.10000000000000,177.8,43.7,506.5,1.9,642.2,-109.1,1899.3,364.2,2188.1,320.1,35.1,189723,0.0428466764704332,ND,Midwest,West North Central
Ohio,700380,8962.0,11797517,325737,0.09145454545454550,0.10170454545454500,0.15027272727272700,0.21768181818181800,0.43885227272727300,2523.5,5851.4,-4447.0,2843.8,623.3,1100.9,2753.9,787.8000000000000,15012.9,6645.1,31950.0,8016.1,48090.2,13889.6,2214.8,3006852,0.0517940357556673,OH,Midwest,East North Central
Oklahoma,290936,2489.0,3964912,324897,0.10036363636363600,0.1207922077922080,0.16663636363636400,0.22606493506493500,0.3861038961038960,432.7,-181.1,-220.3,1640.9,1020.0,1024.8,453.5,919.8,6109.3,-2865.3,6630.1,2147.4,-307.3,1099.7,506.3,955620,0.0260532429208262,OK,South,West South Central
Oregon,113929,1485.0,4244795,68376,0.03666666666666670,0.049,0.08561111111111110,0.18819444444444400,0.6404166666666670,239.7,2898.0,-1403.3,1211.0,-120.4,296.6,-1354.6,809.8000000000000,3164.0,4090.2,7046.3,9404.6,30936.8,4181.1,1102.3,1004429,0.0680744980481447,OR,West,Pacific
Pennsylvania,646060,16020.0,12994440,234517,0.03583582089552240,0.03538805970149250,0.08625373134328360,0.17065671641791000,0.6719701492537310,3535.6,17278.0,3008.7,2933.3,1951.7,342.90000000000000,-1226.9,995.9,31271.9,7721.0,36244.7,17709.2,73991.4,19406.2,1459.0,3089265,0.0759135263565929,PA,Northeast,Middle Atlantic
Rhode Island,87949,1777.0,1096345,22086,0.012200000000000000,0.009600000000000000,0.04,0.13600000000000000,0.8020000000000000,343.30000000000000,1862.9,768.5,263.0,106.4,85.9,680.3,120.7,1530.2,1768.2,4085.5,1056.7,7721.700000000000,1788.5,252.5,276643,0.0798357449854144,RI,Northeast,New England
South Carolina,307507,5296.0,5131848,166647,0.0971304347826087,0.07054347826086960,0.10928260869565200,0.1902608695652170,0.5328260869565220,101.7,-3946.2,-1807.0,714.8,732.0,1293.2,398.1,-20.9,4448.3,-3797.4,4516.9,4929.2,21637.0,2635.9,1271.8,1294270,0.0283148029391085,SC,South,South Atlantic
South Dakota,99164,1488.0,887799,12273,0.14831818181818200,0.10506060606060600,0.16668181818181800,0.21909090909090900,0.36093939393939400,52.5,-608.1,150.80000000000000,497.8,305.6,15.5,-38.0,-2.2,-94.3,-1479.3,1294.3,428.0,2759.0,-275.8,-2.2,239871,0.0094759266439044,SD,Midwest,West North Central
Tennessee,572579,6846.0,6925619,184075,0.1100421052631580,0.1013578947368420,0.1519578947368420,0.2095263157894740,0.4271894736842110,517.3,2764.4,-5138.6,1701.6,156.8,815.7,-4303.9,713.8,1184.9,3336.6,10646.8,4408.2,23006.9,1348.5,-2092.9,1676952,0.0262828035626541,TN,South,East South Central
Texas,1770527,28155.0,29232474,156714,0.05188976377952760,0.05967716535433070,0.09719291338582680,0.18866535433070900,0.6025590551181100,215.1,4868.9,-11917.8,5845.4,-4327.9,1640.0,-10928.1,1523.2,2094.1,6129.0,31010.9,19004.7,50323.2,22425.9,696.5,6440471,0.0243326924381772,TX,South,West South Central
Utah,276612,1270.0,3283785,114116,0.09306896551724140,0.0969655172413793,0.11827586206896600,0.27186206896551700,0.4197586206896550,-1010.1,-5831.7,-1862.3,671.6,-2257.4,286.8,-3598.2000000000000,-504.8,-1731.3,7605.6,-3392.9,-2332.2,5388.0,830.6,671.3,838906,-0.01682667664792,UT,West,Mountain
Vermont,7412,136.0,642893,422739,0.04535714285714290,0.08778571428571430,0.06928571428571430,0.13764285714285700,0.66,323.7,1637.9,199.3,292.7,38.7,84.1,-83.7,5.6000000000000000,-22.8,-1326.1,1698.1,637.0,4567.7,44.9,372.1,166602,0.0541290020527964,VT,Northeast,New England
Virginia,349584,5032.0,8636471,115178,0.04187218045112780,0.04642857142857140,0.09602255639097750,0.17784210526315800,0.637827067669173,527.1,2629.3,-905.8,1886.9,2079.3,652.9,-2788.6,556.7,9483.9,7919.1,12429.4,16861.0,50485.8,8354.7,1491.6,1989091,0.0579048419604734,VA,South,South Atlantic
Washington,251064,3523.0,7724031,196218,0.0378974358974359,0.038871794871794900,0.07066666666666670,0.1824102564102560,0.6698717948717950,486.9,-3450.1,2790.0,-87.70000000000000,32.4,1286.9,-2078.0,903.1,3740.1,-8245.8,-4925.4,15268.1,33550.0,7857.4,1104.7,1524484,0.0368767399329871,WA,West,Pacific
West Virginia,85334,1338.0,1791420,17523,0.08607272727272730,0.07707272727272730,0.13605454545454500,0.21843636363636400,0.48241818181818200,373.5,202.7,424.6,406.1,321.5,90.7,67.0,-134.7,1475.9,1089.4,2551.2,-393.5,6226.3,1530.6,647.1,426811,0.0410556428958016,WV,South,South Atlantic
Wisconsin,520438,5245.0,5896271,173620,0.08683333333333330,0.10204166666666700,0.1453611111111110,0.23231944444444400,0.4335,1108.7,2732.3,-1162.6,323.40000000000000,2070.5,-92.1,-394.2,-1.8,2086.6,5557.8,11257.4,12890.4,28135.6,2468.5,3597.0,1603505,0.0459119241910689,WI,Midwest,East North Central
Wyoming,44409,438.0,577605,87087,0.1516086956521740,0.157,0.12300000000000000,0.232,0.3364347826086960,117.9,94.6,90.7,448.5,191.5,349.6,-133.5,0.1,-72.9,1399.0,461.2,-141.5,2198.9,101.1,111.7,140075,0.0505943244690344,WY,West,Mountain
